638	312	4.61
631	312	5.55
459	316	5.57
639	309	6.43
639	308	6.18
599	309	2.07
483	313	2.28
623	308	5.57
602	308	5.42
543	310	3.88
633	306	5.54
541	310	5.01
363	318	5.29
628	304	4.89
602	305	5.41
581	306	5.24
628	302	2.83
560	305	5.71
619	300	4.79
622	300	4.44
635	299	6.02
635	297	6.12
569	301	4.61
518	304	6.11
575	299	4.51
550	301	6.1
635	293	3.56
455	308	4.23
635	291	5.38
571	296	5.16
430	309	5.5
598	293	5.18
619	291	5.61
629	289	6.25
631	288	6.39
568	293	7.39
470	303	5.38
637	284	5.77
390	312	2.82
555	292	2.4
549	293	3.93
637	282	6.16
622	282	5.01
586	287	4.86
624	282	6.05
595	283	5.2
636	278	5.72
446	302	6.18
503	294	4.74
528	291	4.76
464	300	4.36
464	300	4.53
464	299	4.17
617	277	5.38
634	275	5.69
463	299	5.07
444	301	6.47
421	305	6.11
635	271	5.2
636	270	5.94
531	286	5.51
506	289	3.69
582	277	4.34
624	270	5.89
595	273	4.34
590	273	3.27
613	269	5.88
613	268	5.36
493	288	2.24
563	275	5.3
520	282	4.8
538	280	4.59
493	287	5.72
534	278	4.95
566	273	6.05
450	295	5.38
618	262	2.04
530	278	5.66
489	287	4.36
401	303	5.64
528	278	4.48
628	259	4.77
566	271	5.9
625	258	6.15
401	302	5.42
622	257	5.36
626	256	5.51
615	258	6.11
605	260	4.08
631	254	5.98
612	257	6.51
486	283	3.46
630	253	5.92
516	277	4.9
630	253	4.44
619	255	5.07
555	267	4.53
596	258	5.55
596	258	7.1
627	251	5.17
401	302	5.09
516	275	5.24
631	246	4.78
429	294	6.67
480	280	4.83
613	248	5.8
627	245	6.15
604	250	5.46
596	251	6.08
471	281	2.15
478	279	4.62
624	244	5.35
562	258	3.86
428	293	5.45
604	247	4.4
591	250	5.44
623	240	5.62
589	249	4.3
339	313	4.24
560	254	5.59
551	254	5.95
581	246	5.5
582	246	5.5
625	234	4.27
487	273	6.12
626	233	5.4
627	232	6.06
625	231	6.03
616	233	5.64
605	235	5.33
605	235	5.55
625	229	6.35
625	229	7.42
622	230	6.09
622	230	5.58
618	230	6.14
495	266	5.17
530	257	3.32
540	252	5.04
579	240	6.23
606	232	5.56
621	228	5.71
624	226	5.51
549	250	5.21
464	276	5.36
620	227	3.46
527	255	4.26
430	284	5.32
568	242	2.07
494	266	3.94
607	229	5.57
546	248	5.67
494	264	4.34
448	278	5.57
621	224	6.4
624	223	5.97
561	242	5.8
580	236	5.15
604	228	4.66
583	234	4.51
624	221	5.93
596	227	4.67
620	219	5.21
620	219	6.44
611	222	5.97
620	218	5.14
620	218	6.04
623	217	5.7
532	247	4.97
622	215	5.42
429	282	4.25
621	213	5.13
478	262	4.95
587	223	4.74
448	272	6.33
620	210	5.87
583	222	5.23
529	241	4.87
619	207	6.5
556	229	5.6
430	276	4.72
615	206	6.21
615	206	3.6
467	261	2.66
608	206	4.9
601	208	5.35
600	208	5.5
528	236	4.83
609	204	5.51
570	220	6.57
323	317	1.97
419	278	5.82
535	232	3.41
521	236	5.27
600	203	6.01
595	206	5.11
613	198	4.84
604	200	3.62
